godot_proxy	game_mesh	score	tier
AAGun_01	seu_aagun_01	1.0	exact
ACModule_01	ACModule_01	1.00	manual
ACModule_01_VFX	ACModule_01_VFX	1.00	manual
ACModule_02	ACModule_02	1.00	manual
ACModule_02_VFX	ACModule_02_VFX	1.00	manual
ACModule_03	ACModule_03	1.00	manual
ACModule_03_animated	ACModule_03_animated	1.00	manual
ACModule_04	com_acmodule_04	1.0	exact
ACUnitInterior_01	ACUnitInterior_01	1.00	manual
ACUnitWindow_01_A	ACUnitWindow_01_A	1.00	manual
ACUnitWindow_01_B	ACUnitWindow_01_B	1.00	manual
ACUnitWindow_01_C	euu_acunitwindow_01_a	1.0	auto-dims
ACUnitWindow_01_D	euu_acunitwindow_01_c	1.0	auto-dims
ACUnitWindow_logo_01	euu_acunitwindow_logo_01	1.0	auto-dims
ACUnit_01	com_acunit_01	1.0	exact
ACUnit_03	ACUnit_03	1.00	manual
ACUnit_03_animated	ACUnit_03_animated	1.00	manual
ACUnit_03_cover	ACUnit_03_cover	1.00	manual
ACUnit_04	ACUnit_04	1.00	manual
ACUnit_04_Off	ACUnit_04_Off	1.00	manual
ACUnit_04_Support	ACUnit_04_Support	1.00	manual
ACUnit_04_cover	ACUnit_04_cover	1.00	manual
AP_PolyPlane_01	ap_polyplane_01	1.0	exact
ATMMachine_01	com_atmmachine_01	1.0	exact
Abra01_Chassis	Abra01_Chassis	1.00	manual
Abra01_Tracks	mil_abrams_01_tracks	1.0	exact
Abra01_Turret	Abra01_Turret	1.00	manual
AdirondackChair_01	euu_adirondackchair_01	1.0	exact
AftermathDebrisPileConcrete_Skew_120_B	AftermathDebrisPileConcrete_Skew_120_B	1.00	manual
AftermathDebrisPileConcrete_Skew_210_A	AftermathDebrisPileConcrete_Skew_210_A	1.00	manual
AftermathDebrisPileConcrete_Skew_210_B	AftermathDebrisPileConcrete_Skew_210_B	1.00	manual
AftermathDebrisPileConstruction_Ramp_512_01_B	ind_aftermathdebrispileconstruction_ramp_512_01_b	1.0	exact
AftermathDebrisPileRedBrick_01_A	euu_aftermathdebrispileredbrick_01_a	1.0	exact
AftermathDebrisPileRedBrick_01_B	euu_aftermathdebrispileredbrick_01_b	1.0	exact
AgaveAmericana_01_S_A	bs_com_agaveamericana_01_s_a	1.0	exact
AgaveAmericana_01_S_B	bs_com_agaveamericana_01_s_b	1.0	exact
Ailanthis_01_S_B	bs_com_ailanthis_01_s_b	1.0	exact
Ailanthis_01_S_C	bs_com_ailanthis_01_s_c	1.0	exact
Ailanthis_01_S_D	bs_com_ailanthis_01_s_d	1.0	exact
Ailanthis_01_S_E	bs_com_ailanthis_01_s_e	1.0	exact
AirControlTower_02	bd_seu_aircontroltower_02	1.0	exact
AirDuctDamaged_B_1024	dc_ind_airductdamaged_b_1024	1.0	exact
AirDuctPipeBrace_01	ind_airductpipebrace_01	1.0	exact
AirDuctPipeCap_01	ind_airductpipecap_01	1.0	exact
AirDuctPipe_01_C90	ind_airductpipe_01_c90	1.0	exact
AirDuctPipe_1024_01	ind_airductpipe_1024_01	1.0	exact
AirDuctPipe_256_01	ind_airductpipe_256_01	1.0	exact
AirDuctPipe_256_02	ind_airductpipe_256_02	1.0	exact
AirDuctPipe_256_C90_01	ind_airductpipe_256_c90_01	1.0	exact
AirDuctPipe_512_01	ind_airductpipe_512_01	1.0	exact
AirDuct_01_A_1024	ind_airduct_1024_b	1.0	auto-dims
AirDuct_01_C135	ind_airduct_01_c135	1.0	exact
AirDuct_02_A_256	ind_airduct_02_a_256	1.0	exact
AirDuct_02_A_512	ind_airduct_02_a_512	1.0	exact
AirDuct_02_A_512_NBRK	ind_airduct_02_a_512_nbrk	1.0	exact
AirDuct_02_A_Corner	ind_airduct_02_a_corner	1.0	auto-dims
AirDuct_02_A_Corner_NBRK	ind_airduct_02_a_corner_nbrk	1.0	exact
AirDuct_02_A_End	ind_airduct_02_a_end	1.0	auto-dims
AirDuct_02_A_End_NBRK	ind_airduct_02_a_end_nbrk	1.0	exact
AirDuct_02_A_Joint	ind_airduct_02_a_joint	1.0	exact
AirDuct_02_C135	ind_airduct_02_c135	1.0	exact
AirDuct_1024_A	ind_airduct_1024_b	1.0	auto-dims
AirDuct_1024_B	ind_airduct_1024_b	1.0	exact
AirDuct_1024_C	ind_airduct_1024_c	1.0	exact
AirDuct_256_B	ind_airduct_256_b	1.0	exact
AirDuct_512_A	ind_airduct_512_a	1.0	exact
AirDuct_512_B	ind_airduct_512_a	1.0	auto-dims
AirDuct_Bend_90_128_B	ind_airduct_bend_90_128_b	1.0	exact
AirDuct_End_Bend_Up_A_Dull	ind_airduct_end_bend_up_a_dull	1.0	exact
Airconditioner_01_B	com_airconditioner_01_b	1.0	exact
AircraftWreckage_Jas39_01_Body	mil_aircraftwreckage_jas39_01_body	1.0	exact
AirfieldBlastBarrier_01	ind_airfieldblastbarrier_01	1.0	exact
AirplaneJAS39Body_B	mil_airplanejas39body_b	1.0	exact
AirplaneJAS39Cab_01_Contaminated	mil_airplanejas39cab_01_contaminated	1.0	exact
AirplaneJAS39Cloth_01	mil_airplanejas39cloth_01	1.0	exact
AirplaneJAS39Frame_01	mil_airplanejas39frame_01	1.0	auto-dims
AirplaneJAS39Frame_01_Contaminated	mil_airplanejas39frame_01_contaminated	1.0	exact
AirplaneJAS39Frame_02	dc_mil_airplanejas39frame_02	1.0	exact
AirplaneJAS39PanelFrame_01	mil_airplanejas39panelframe_01	1.0	exact
AirplaneJAS39_01_C	mil_airplanejas39_01_c	1.0	exact
AirportTerminalLarge_01	bd_seu_airportterminallarge_01	1.0	exact
AirportTerminalStorage_01	bd_seu_airportterminalstorage_01	1.0	exact
AluminumBench_01	AluminumBench_01	1.00	manual
AluminumGangway_01_1024	com_aluminumgangway_01_1024	1.0	exact
AmmoChest_Small_Ext_01	AmmoChest_Small_Ext_01	1.00	manual
AmmoChest_Small_Int_01	AmmoChest_Small_Int_01	1.00	manual
AmmoChest_Small_Lid_01	AmmoChest_Small_Lid_01	1.00	manual
Anemometer_01	Anemometer_01	1.00	manual
AnimalDungLarge_01	AnimalDungLarge_01	1.00	manual
AntennaMastMetal_01	AntennaMastMetal_01	1.00	manual
AntennaRooftop_01	AntennaRooftop_01	1.00	manual
AntennaSmall_01_A	AntennaSmall_01_A	1.00	manual
AntennaSmall_01_B	AntennaSmall_01_B	1.00	manual
AntennaTall_01	AntennaTall_01	1.00	manual
Antenna_01	Antenna_01	1.00	manual
Antenna_02	Antenna_02	1.00	manual
AntennareciverMetal_01	AntennareciverMetal_01	1.00	manual
AppleCluster_01	AppleCluster_01	1.00	manual
AppleCluster_02	AppleCluster_02	1.00	manual
