proxy	x	y	z
AAGun_01	6.141189	6.875969	8.907477
Abra01_Chassis	3.722253	1.591354	7.805423
Abra01_Chassis_B	3.722253	1.744042	7.805423
Abra01_Tracks	0.708660	1.344334	7.021653
Abra01_Turret	3.387391	1.308702	8.997305
Abra01_Turret_B	3.387391	2.149459	8.997305
AbraCoveredTarp	3.999779	2.806882	9.735360
AcaciaUrban_01_S	8.921165	8.189521	8.796806
ACModule_01	1.282953	2.254237	0.947135
ACModule_01_VFX	1.282953	2.254237	0.947135
ACModule_02	2.097439	1.387545	1.143992
ACModule_02_VFX	2.097439	1.387545	1.143992
ACModule_03	1.037933	0.646568	0.531032
ACModule_03_animated	1.037933	0.646568	0.531032
ACModule_03_Running	1.037933	0.646568	0.531032
ACModule_04	0.852408	0.729721	0.856571
ACUnitInterior_01	1.108783	0.520909	0.447227
ACUnitWindow_01_A	1.072134	0.917477	0.687827
ACUnitWindow_01_B	1.002726	0.518289	0.672373
ACUnitWindow_01_C	1.072134	0.917477	0.687827
ACUnitWindow_01_D	1.002726	0.684979	0.686531
ACUnitWindow_logo_01	0.600833	0.088641	0.007572
ACUnit_01	0.684923	0.798712	0.731728
ACUnit_03	1.010272	0.838029	0.420688
ACUnit_03_animated	1.010272	0.838029	0.420688
ACUnit_03_cover	1.010272	0.838029	0.420688
ACUnit_03_Running	1.010272	0.838029	0.420688
ACUnit_04	1.117936	1.348310	0.454381
ACUnit_04_cover	1.117936	1.348310	0.454381
ACUnit_04_Off	1.117936	1.348310	0.454381
ACUnit_04_Support	1.091947	0.449816	0.454318
AdirondackChair_01	0.788806	0.971139	0.823233
AftermathDebrisPileBrickPlaster_120	0.036403	0.000010	0.036403
AftermathDebrisPileBrickPlaster_120_01	0.036403	0.000010	0.036403
AftermathDebrisPileBrickPlaster_120_A_1	0.036403	0.000010	0.036403
AftermathDebrisPileBrickPlaster_210	0.036403	0.000010	0.036403
AftermathDebrisPileBrickPlaster_210_01	0.036403	0.000010	0.036403
AftermathDebrisPileBrickPlaster_210_A_1	0.036403	0.000010	0.036403
AftermathDebrisPileConcrete_Center_120	0.100000	0.000010	0.100000
AftermathDebrisPileConcrete_Center_120_B	0.100000	0.000010	0.100000
AftermathDebrisPileConcrete_Center_60	0.100000	0.000010	0.100000
AftermathDebrisPileConcrete_Center_60_B	0.100000	0.000010	0.100000
AftermathDebrisPileConcrete_Skew_120	0.100000	0.000010	0.100000
AftermathDebrisPileConcrete_Skew_120_B	0.100000	0.000010	0.100000
AftermathDebrisPileConcrete_Skew_120_C	0.100000	0.000010	0.100000
